Question,Answer,File,URL
How do I contact a representative about my secondary medical insurance?,"You can reach a representative by calling the Care Centre at 236-427-8123, Mon. - Fri. from 9 am to 5 pm. Or you can visit the Studentcare Care Office in-person, located at the Student Union Building (SUB) 2301 on SFU Burnaby campus, Mon. - Fri. from 9 am to 5 pm.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
Can I have both the GSS/SFSS health and dental plan and the TSSU extended health and dental plan?,"Yes, you can have both the GSS/SFSS health and dental plan and the TSSU extended health and dental plan. One benefit is that you can claim eligible medical and dental expenses to both plans and receive a higher amount of reimbursement. However, you will need to compare the two policies to make an informed decision that fits your individual needs.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
What happens if I opt out of the GSS/SFSS plan while having the TSSU plan?,"If you opt out of the GSS/SFSS health and dental plan while having the TSSU plan, you cannot re-enroll in the GSS/SFSS plan for the entire academic year. This means there is a risk of having no secondary medical insurance coverage if your TSSU appointment ends in the middle of the academic year. Additionally, there is a 3-month waiting period for the TSSU dental plan.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
How do I apply for a partial refund from guard.me@SFU?,"You may be eligible for a refund of the unused portion of your insurance if you have not made a claim and there is more than 1 month of coverage remaining when you apply through guard.me@SFU. Your application for a partial reimbursement must be received by guard.me@SFU before the last month of the term (that is, before April 1, August 1, and December 1). If approved, your partial refund will be applied to your SFU account. If you are a TSSU member, additionally, SFU HR will reimburse 85% of the guard.me fee paid to the maximum cost for two persons, processed at the end of the semester. You must notify HR that you are covered by guard.me for reimbursement to occur.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
What additional documents are needed to opt out of guard.me@SFU with BC MSP?,You must submit proof of MSP which must include a photo of your MSP card plus one of the following additional documents: a current invoice or a letter confirming coverage.,1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
How does the GSS/SFSS health and dental plan differ from the TSSU extended health and dental plan?,"As a student at SFU, you are automatically enrolled in the GSS/SFSS plan for the entire academic year, whereas the TSSU plan is not automatic and is only for the duration of your TSSU appointment.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
What should I do if I have not received the welcome email from guard.me@SFU?,"If you have not received the welcome email from guard.me@SFU, please contact them at customercare@guard.me.",1_1_12_6,https://www.sfu.ca/medical-insurance/international-teaching-assistants.html
What is the GuardMe@SFU Insurance plan and when does it become mandatory for international students?,"The GuardMe@SFU Insurance plan is a mandatory health insurance plan for international students studying in Canada. It becomes mandatory on September 1, 2025.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What should I do if I am not in Canada and need to opt out of the GuardMe@SFU Insurance plan?,"If you are not in Canada and need to opt out of the GuardMe@SFU Insurance plan, you MUST complete the Out of Canada Waiver to receive a credit to your student account. The deadline to complete this opt-out waiver is September 30, 2025.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What is the deadline for completing the Out of Canada Waiver to opt out of the insurance plan?,"September 30, 2025.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
Who is eligible to opt out of the GuardMe@SFU Plan?,"1. Students not in Canada.
2. Students with valid coverage through BC Medical Services Plan (MSP).
3. Students studying at SFU under a government-sponsored scholarship program.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
How can I apply for a refund of the unused portion of my insurance?,"You may be eligible for a refund of the unused portion of your insurance if you have not made a claim and there is at least 1 month of coverage remaining when you apply through guard.me. Your application for a partial reimbursement must be received by guard.me before the last month of the term (e.g., before April 1, August 1, and December 1).",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What documents are required to prove valid coverage through BC Medical Services Plan (MSP)?,"Proof of MSP must include a photo of your MSP card plus one of the following:
1. No additional document is required if the MSP card is issued more than 3 months prior to the start of the semester.
2. If waiting for your MSP card, submit a letter from BC MSP that includes both start and end dates of your MSP coverage.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What should I do if I am waiting for my MSP card to arrive?,"If you are waiting for your MSP card to arrive, you can submit a letter from BC MSP that includes both the start and end dates of your MSP coverage. To request the letter from MSP, please visit the BC MSP page.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What services does the keep.meSAFE Student Support Program offer?,"The keep.meSAFE Student Support Program offers 24/7 access to mental health support, promotes early intervention, and provides culturally matched licensed clinicians for students.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
How does the GuardMe Student Support Program assist students?,"The GuardMe Student Support Program assists students by providing support services for challenges faced when studying or living abroad. Students can contact the program anytime, day or night, to speak with a counsellor experienced in supporting the unique challenges students face.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What is mobileDOCTOR by guard.me and how does it work?,"mobileDOCTOR by guard.me allows you to connect with Canadian doctors on Maple, a telemedicine company. It provides access to doctors across Canada via phone, tablet, or computer anytime, anywhere. You can consult a doctor through text, video, or audio chat. Doctors can diagnose injuries and illnesses, write prescriptions, and provide lab requisitions during the consultation. Note that eligible prescriptions and lab requisitions are covered only when you are in Canada. When outside of Canada, the service is available 24/7 for advice purposes only.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What are the limitations of the services provided by the insurers and plan administrators?,"The Insurer, the Plan Administrator, and/or the Claim Administrator are not responsible for the availability, quality, or results of any Medical Treatment, or for your failure to obtain Medical Treatment or transportation, and shall not be held liable for any negligence, wrongful acts, or omissions of any service providers.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
How can I contact the keep.meSAFE sales team?,You can contact the keep.meSAFE sales team at [email protected] or visit www.keepmesafe.org.,1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
Is the GMSSP program confidential?,"Yes, GMSSP is completely confidential within the limits of the law. No one, including family, friends, or professors, will know you used the program unless you choose to tell them.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
How can I access doctors through the Maple telemedicine service?,"You can access doctors through the Maple telemedicine service by signing up for mobileDOCTOR by guard.me. You will need your policy number and date of birth. Click the “See The Doctor” button, and a Maple doctor will respond to you in minutes. Consultations can be conducted via text, video, or audio chat.",1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What should I do if I need to see a doctor while outside of Canada?,You can use the mobileDOCTOR service by guard.me to connect with Canadian doctors on Maple for advice. The service is available 24/7 for advice purposes only while outside of Canada. You will need your policy number and date of birth to use the service.,1_1_12_7_1,https://sites.guard.me/sfu/optout/undergraduate
What does GuardMe provide for international students?,"GuardMe provides peace of mind in case of unforeseen events, a Wellness Program for mental health support, 24/7 multilingual mental health helpline, virtual counseling, crisis intervention services, and access to Canadian doctors through the mobileDOCTOR service.",1_1_12_7_2,https://sites.guard.me/sfu/
How can I enroll my spouse or children in GuardMe coverage?,"You can enroll your spouse or children in GuardMe coverage by following the instructions provided in the Policy Brochures section, which mentions that enrollment is available for spouses and children of registered or visiting students.",1_1_12_7_2,https://sites.guard.me/sfu/
What is the eligibility criteria for enrolling in GuardMe if I am a visiting graduate research student?,"Enroll if you are a visiting graduate research student, post-doc or visiting scholar.",1_1_12_7_2,https://sites.guard.me/sfu/
What support does GuardMe offer for students with lapsed MSP coverage?,GuardMe offers enrollment for full-time SFU students whose MSP coverage has lapsed.,1_1_12_7_2,https://sites.guard.me/sfu/
When was GuardMe established and what is its mission?,"GuardMe was established in 1998. Its mission is to safeguard international students, staff, and schools by building strong partnerships with educational institutions to bolster student support and foster safe, nurturing learning environments.",1_1_12_7_2,https://sites.guard.me/sfu/
What unique programs does GuardMe offer for mental health support?,"GuardMe offers a 24/7 multilingual mental health helpline, virtual counselling, crisis intervention services, and the keep.meSAFE Student Support Program, which includes early intervention and access to culturally matched clinicians.",1_1_12_7_2,https://sites.guard.me/sfu/
How does GuardMe ensure the privacy and security of student data?,"GuardMe ensures the privacy and security of student data by storing all data exclusively in Canadian data centres, complying with strict Canadian privacy laws, utilizing advanced encryption, and continuously investing in security innovations. GuardMe is also the first provider to achieve ISO and SOC 2 compliance in both security and privacy.",1_1_12_7_2,https://sites.guard.me/sfu/
What is the keep.meSAFE Student Support Program?,"The keep.meSAFE Student Support Program (SSP) helps students by promoting early intervention and 24/7 access to mental health support. It allows students to manage their mental health so they can fully participate in academic life and complete their studies. The program uses linguistically and culturally matched licensed clinicians, providing a welcoming place for students to seek help.",1_1_12_7_2,https://sites.guard.me/sfu/
How can students access the GuardMe Student Support Program?,"Students can access the GuardMe Student Support Program by contacting GMSSP anytime, day or night, to speak with a counsellor. They can also download the TELUS Student Support App from the Apple App Store or Google Play, call 1-844-451-9700, or chat directly with a counsellor through the app.",1_1_12_7_2,https://sites.guard.me/sfu/
What should I do in case of an emergency while using GuardMe services?,"In case of an emergency while using GuardMe services, please call 911 immediately.",1_1_12_7_2,https://sites.guard.me/sfu/
How can I contact a counsellor through the TELUS Student Support App?,You can contact a counsellor through the TELUS Student Support App by downloading it from either the Apple App Store or Google Play. You can also chat directly with a counsellor through the app.,1_1_12_7_2,https://sites.guard.me/sfu/
What services does mobileDOCTOR by GuardMe provide?,"mobileDOCTOR by GuardMe provides access to Canadian doctors via telemedicine, allowing consultations through text, video, or audio chat. It enables diagnosis of injuries and illnesses, writing prescriptions, and providing lab requisitions. The service is available 24/7 for advice purposes even when outside of Canada.",1_1_12_7_2,https://sites.guard.me/sfu/
How can I consult a Canadian doctor using the Maple telemedicine service?,"To consult a Canadian doctor using the Maple telemedicine service, you need to: 

1. Have your policy number and date of birth ready.
2. Click the “See The Doctor” button on the Maple platform.
3. A Maple doctor will respond to you in minutes.
4. You can have your consultation via text, video, or audio chat.",1_1_12_7_2,https://sites.guard.me/sfu/
What limitations exist regarding prescriptions and lab requisitions through mobileDOCTOR?,Only eligible prescriptions and lab requisitions are covered by guard.me and can only be provided if you are in Canada.,1_1_12_7_2,https://sites.guard.me/sfu/
How can I sign up for the GuardMe mobile doctor service?,"To sign up for the GuardMe mobile doctor service, visit guard.me/mobiledoctor, click the “See The Doctor” button, and provide your policy number and date of birth. You can then have a consultation by text, video, or audio chat.",1_1_12_7_2,https://sites.guard.me/sfu/
What are the responsibilities of the Insurer and Plan Administrator regarding medical treatment?,"The Insurer, the Plan Administrator, and/or the Claim Administrator are not responsible for the availability, quality, or results of any Medical Treatment, or your failure to obtain Medical Treatment or transportation, and shall not be held liable for any negligence, wrongful acts, or omissions of any service providers.",1_1_12_7_2,https://sites.guard.me/sfu/
How does GuardMe use cookies on its website?,"GuardMe uses cookies to optimize site functionality and enhance user experience. Essential cookies are required for optimal user movement throughout the website, accessing features, and making purchases. Google Analytics cookies are used to collect data about website usage, which is transferred and stored through Google on its servers in the United States.",1_1_12_7_2,https://sites.guard.me/sfu/
What types of cookies are essential for the GuardMe website to function optimally?,"Essential cookies required for optimal user movement throughout the website and for providing access features such as locating important clinic locations, accessing accounts, and making purchases.",1_1_12_7_2,https://sites.guard.me/sfu/
What is the guard.me@SFU insurance plan?,guard.me@SFU is a short term primary medical insurance coverage designed to provide comprehensive primary medical coverage during your exchange duration. You will be automatically enrolled in this plan after course enrollment.,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
How long is the guard.me@SFU coverage?,The guard.me@SFU coverage is for a mandatory duration of 4 months.,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
Can I opt out of the guard.me@SFU insurance plan?,You can opt out of the guard.me@SFU temporary medical insurance plan if you are studying outside of Canada or if you have one of the eligible plans. Most exchange students are not eligible to opt out.,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
Who is eligible to opt out of guard.me@SFU?,You can opt out of guard.me@SFU if you are studying outside of Canada or if you have one of the eligible plans. Most exchange students are not eligible to opt out.,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
How much does the guard.me@SFU plan cost per term?,$281 per term,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
What should I do if I stay in BC after my guard.me@SFU coverage ends?,"If you stay in BC past the dates of your guard.me@SFU coverage, you will need to purchase additional coverage directly from guard.me Canada or another insurance provider.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
How do I obtain my policy or certificate number?,"You will receive a welcome email from guard.me@SFU at the beginning of the semester. This email will include a link to log into your account to view your policy details. You can view and download your Healthcare Access Card (HAC), which is your proof of insurance and will have your name, student number, policy number, and policy start and end date. You can also log in via the Guard.me@SFU website.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
What does the Healthcare Access Card (HAC) include?,"The Healthcare Access Card (HAC) includes your name, student number, policy number, and policy start and end date.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
How can I use my HAC for direct billing?,"To use your Healthcare Access Card (HAC) for direct billing, print out a copy of your HAC from the guard.me@SFU website when visiting any of the SFU Health Clinics. The clinic will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
What steps should I take to opt out of guard.me@SFU?,"To opt out of guard.me@SFU, follow these steps:

1. Visit the guard.me@SFU website.
2. Click the appropriate category for opt-out.
3. Follow the opt-out instructions provided.
4. Check the opt-out deadlines on the website.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
How can I make claims for medical visits?,"When visiting any of the SFU Health Clinics, print out a copy of your Healthcare Access Card (HAC) from guard.me@SFU website. The HAC is your proof of insurance containing your coverage information. They will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required. 

For clinics that do not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, please visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
What should I do if my clinic does not allow direct billing?,"If your clinic does not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
Will I receive a secondary medical insurance plan through SFU?,"No, you will not receive a secondary medical insurance plan through SFU.",1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
Where can I find more information about guard.me@SFU?,You can find more information about guard.me@SFU on the guard.me@SFU website.,1_1_12_7,https://www.sfu.ca/medical-insurance/1-term-exchange.html
What is guard.me@SFU?,guard.me@SFU is a short term primary medical insurance coverage designed to help transition students to Canada while they wait for their BC Medical Services Plan (MSP).,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How long is the mandatory primary medical insurance plan through guard.me@SFU?,The mandatory primary medical insurance plan through guard.me@SFU is 4 months long.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
Can I opt out of guard.me@SFU if I’m studying outside of Canada?,"Yes, you can opt out of guard.me@SFU if you are studying outside of Canada.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What are the eligibility criteria for opting out of guard.me@SFU?,You can opt out of guard.me@SFU if you are studying outside of Canada or if you have one of the eligible plans. Most exchange students are not eligible to opt out.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How do I opt out of guard.me@SFU?,"To opt out of guard.me@SFU, visit their website, click the appropriate category, and follow the opt-out instructions. Check the opt-out deadlines on their site. Note that most exchange students are not eligible to opt out.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What is the cost of the guard.me@SFU plan for the first term?,$281 for your first term at SFU*,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
When will I receive my Healthcare Access Card (HAC)?,You will receive your Healthcare Access Card (HAC) at the beginning of the semester in a welcome email from guard.me@SFU.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How can I make claims using guard.me@SFU insurance?,"When visiting any of the SFU Health Clinics, print out a copy of your Healthcare Access Card (HAC) from the guard.me@SFU website. The HAC is your proof of insurance containing your coverage information. They will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required.

For clinics that do not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, please visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What should I do if I received my BC Services Card before the end of my first term?,"You may be eligible for a refund of the unused portion of your insurance if you have not made a claim and there is more than 1 month of coverage remaining when you apply through guard.me@SFU. Your application for a partial reimbursement must be received by guard.me@SFU before the last month of the term (before April 1, August 1, and December 1). If approved, your partial refund will be applied to your SFU account.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
Am I eligible for a refund of the unused portion of my guard.me@SFU insurance?,"Yes, you may be eligible for a refund of the unused portion of your guard.me@SFU insurance if you have not made a claim and there is more than 1 month of coverage remaining when you apply. Your application for a partial reimbursement must be received by guard.me@SFU before the last month of the term (before April 1, August 1, and December 1).",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What is the BC Medical Services Plan (MSP)?,"The BC Medical Services Plan (MSP) is a medical insurance plan for students staying in British Columbia (BC) for 6 months or longer. It provides primary medical coverage, but there is a wait period of 2-3 months for newcomers before the coverage begins. During this waiting period, students are automatically enrolled in the guard.me@SFU plan for short-term coverage. Once enrolled in MSP, students will receive a BC Services Card and will not have to pay for visits to health clinics or hospitals, as these will be billed directly to BC MSP.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How do I apply for BC MSP?,"To apply for BC MSP, complete the MSP Application online at the BC MSP website. You may also complete the MSP Application Enrolment form by mail and send it directly to BC MSP. You can apply as soon as you arrive in BC.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What is the waiting period for BC MSP coverage to begin?,The waiting period for BC MSP coverage to begin is 2-3 months.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How does BC MSP work in terms of payments and billing?,"Once enrolled, BC MSP will mail you a BC Services Card along with an invoice to pay. Payments may be made monthly or in advance, directly to BC MSP, not through SFU. When visiting a health clinic or hospital, you will show your BC Services Card as proof of enrolment, and the clinic will bill BC MSP directly, meaning you will not be required to pay for the visit.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What should I do if I am a returning student traveling back to BC?,"If you are a returning student traveling back to BC, in order to be covered during the wait period for BC MSP, you may purchase a private medical insurance plan. Please contact International Services for Students about temporary medical insurance options to cover the MSP waiting period.",1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
Will I receive a secondary medical insurance plan through SFU?,You will not receive a secondary medical insurance plan through SFU.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
How can I contact guard.me@SFU for more information?,You can contact guard.me@SFU at customercare@guard.me.,1_1_12_8,https://www.sfu.ca/medical-insurance/2-3-term-exchange.html
What are the advantages offered by the ASEQ | Studentcare Networks?,Only professionals that are members of the ASEQ | Studentcare Networks will appear.,1_1_12_9_1,https://studentcare.ca/rte/en/SimonFraserUniversityundergraduatestudentsSFSS_ChangeofCoverage_OptOuts
Who can appear as professionals in the ASEQ | Studentcare Networks?,Only professionals that are members of the ASEQ | Studentcare Networks can appear.,1_1_12_9_1,https://studentcare.ca/rte/en/SimonFraserUniversityundergraduatestudentsSFSS_ChangeofCoverage_OptOuts
How can I discover the advantages of the Studentcare Networks?,"To discover the advantages of the Studentcare Networks, click on one of the Studentcare Networks listed.",1_1_12_9_1,https://studentcare.ca/rte/en/SimonFraserUniversityundergraduatestudentsSFSS_ChangeofCoverage_OptOuts
What is the significance of being a member of the ASEQ | Studentcare Networks?,"Being a member of the ASEQ | Studentcare Networks ensures that only qualified professionals are listed, providing access to various advantages and resources tailored for students.",1_1_12_9_1,https://studentcare.ca/rte/en/SimonFraserUniversityundergraduatestudentsSFSS_ChangeofCoverage_OptOuts
Are there specific networks I can click on to learn more about the advantages?,"Yes, you can click on one of the Studentcare Networks to learn more about the advantages.",1_1_12_9_1,https://studentcare.ca/rte/en/SimonFraserUniversityundergraduatestudentsSFSS_ChangeofCoverage_OptOuts
What are the advantages offered by the ASEQ | Studentcare Networks?,The advantages offered by the ASEQ | Studentcare Networks include access to a network of professionals who are members of the ASEQ | Studentcare Networks.,1_1_12_9_2,https://studentcare.ca/rte/en/IHaveAPlan_SFUSimonFraserUniversitygraduatestudentsGSS_ChangeofCoverage_OptOuts
Who can be found in the ASEQ | Studentcare Networks?,Only professionals that are members of the ASEQ | Studentcare Networks.,1_1_12_9_2,https://studentcare.ca/rte/en/IHaveAPlan_SFUSimonFraserUniversitygraduatestudentsGSS_ChangeofCoverage_OptOuts
How can I discover the Studentcare Networks' advantages?,"To discover the Studentcare Networks’ advantages, click on one of the Studentcare Networks listed.",1_1_12_9_2,https://studentcare.ca/rte/en/IHaveAPlan_SFUSimonFraserUniversitygraduatestudentsGSS_ChangeofCoverage_OptOuts
Are all professionals listed in the ASEQ | Studentcare Networks?,"Yes, only professionals that are members of the ASEQ | Studentcare Networks will appear.",1_1_12_9_2,https://studentcare.ca/rte/en/IHaveAPlan_SFUSimonFraserUniversitygraduatestudentsGSS_ChangeofCoverage_OptOuts
What does ASEQ stand for in the context of Studentcare Networks?,"ASEQ stands for ""Association des étudiants de la santé du Québec.""",1_1_12_9_2,https://studentcare.ca/rte/en/IHaveAPlan_SFUSimonFraserUniversitygraduatestudentsGSS_ChangeofCoverage_OptOuts
What is guard.me@SFU?,guard.me@SFU is a short term primary medical insurance coverage that provides comprehensive primary medical coverage during your exchange duration. You will be automatically enrolled in this plan after course enrollment.,1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How much does the guard.me@SFU insurance plan cost per term?,$281 per term,1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How are students automatically enrolled in guard.me@SFU?,Students are automatically enrolled in guard.me@SFU after course enrollment.,1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
Can I opt out of guard.me@SFU if I’m studying outside of Canada?,"Yes, you can opt out of (cancel) guard.me@SFU temporary medical insurance plan if you are studying outside of Canada or if you have one of the eligible plans. Most exchange students are not eligible to opt out.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
What should I do if I need coverage beyond the end date of my guard.me@SFU plan?,"If you stay in BC past the dates of your guard.me@SFU coverage, you will need to purchase additional coverage directly from guard.me Canada or another insurance provider.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How can I obtain my policy or certificate number for guard.me@SFU?,"You will receive a welcome email from guard.me@SFU at the beginning of the semester. This email will include a link to log into your account to view your policy details. You can view and download your Healthcare Access Card (HAC), which is your proof of insurance and will have your name, student number, policy number, and policy start and end date. You can also log in via the Guard.me@SFU website.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
What is the purpose of the Healthcare Access Card (HAC)?,"The Healthcare Access Card (HAC) is your proof of insurance containing your coverage information. It can be used for direct billing at some pharmacies, medical clinics, and dental offices.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How do I make claims using my guard.me@SFU coverage?,"When visiting any of the SFU Health Clinics, print out a copy of your Healthcare Access Card (HAC) from the guard.me@SFU website. The HAC is your proof of insurance containing your coverage information. They will collect a copy for each visit and will directly bill guard.me@SFU on your behalf. No additional claim is required. 

For clinics that do not allow direct billing, you will need to pay upfront for the visit. Keep copies of all your payment receipts. To submit a claim, visit guard.me@SFU to create an online account and upload copies of your receipts.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
What is the SFSS Health and Dental Plan?,"The undergraduate Simon Fraser Student Society Health and Dental Plan is in place to complement primary medical coverage (i.e., MSP). Services not covered by primary coverage (i.e., vision and dental care) are included in the SFSS plan. Eligible students are automatically covered by and billed for applicable portions of the student plan (except if entering in summer term). Note that Plan benefits are only accessible within Canada.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How can I opt out of the SFSS Health and Dental Plan?,"To opt out of the SFSS Health and Dental Plan, you need to provide proof that you are covered by an equivalent extended health and/or dental plan during the Change-of-Coverage Period. Visit their website for more information.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
What is the GSS Health and Dental Plan?,"The Graduate Student Society (GSS) health and dental plan is in place to complement primary medical coverage (i.e., BC MSP). Services not included by primary coverage (i.e., vision and dental care) are included in the GSS plan. Eligible students are automatically covered by and billed for applicable portions of the student plan (except if entering in the summer term). Note that plan benefits are only accessible within Canada.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How can I opt out of the GSS Health and Dental Plan?,"To opt out of the GSS extended health plan, you must have existing secondary coverage in BC. You will be required to upload proof of coverage on the GSS Health and Dental website during the Change-of-Coverage Period.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
How do I make claims for the SFSS or GSS Health and Dental Plans?,"You can claim online, through a mobile app, or by mail. Please allow up to two weeks for claims to be processed. For claim forms and more information, please visit the SFSS Health and Dental website or the GSS Health and Dental website.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
Who can I contact for assistance regarding my secondary medical insurance?,"You can reach a representative by calling the Care Centre at 236-427-8123, Mon. - Fri. from 9 am to 5 pm. Or you can visit the Studentcare Care Office in-person, which is located at the Student Union Building (SUB) 2301 on SFU Burnaby campus, Mon. - Fri. from 9 am to 5 pm.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
What happens to my secondary medical insurance after my study abroad term?,"Students beginning their term in the Fall and completing their studies in December should contact Studentcare directly to learn about their options for the remainder of the plan, and they should do so prior to the Spring Change-of-Coverage period. Students beginning their term in the Spring cannot opt out mid-year; their coverage will remain active until August 31st of that year.",1_1_12_9,https://www.sfu.ca/medical-insurance/1-term-study-abroad.html
Can I access SFU Health and Counselling services if I'm not enrolled in courses?,"No, you cannot access SFU Health and Counselling services if you are not currently enrolled in SFU courses.",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
What resources are available for medical care in British Columbia for non-enrolled students?,"Some resources available for medical care in British Columbia for non-enrolled students include:

- Online doctor services.
- Access to family doctors or walk-in clinics for specialist referrals.
- Information on the Medical Services Plan (MSP), which covers most necessary medical services.",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
How can I see a doctor online in British Columbia?,You can see a doctor online through some services that offer telemedicine options.,1_1_12,https://www.sfu.ca/students/health/unregistered-students/
Do I need a referral to see a specialist?,"Yes, you usually need a referral from a family doctor or walk-in clinic to see a specialist.",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
What does the Medical Services Plan (MSP) cover?,The Medical Services Plan (MSP) covers most necessary medical services.,1_1_12,https://www.sfu.ca/students/health/unregistered-students/
Is there a waiting period for new residents to access MSP in British Columbia?,"Yes, there is typically a 3-month waiting period for new residents to access MSP in British Columbia.",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
How can I apply for MSP?,Apply for MSP today.,1_1_12,https://www.sfu.ca/students/health/unregistered-students/
"What are the contact numbers for the Burnaby, Vancouver, and Surrey campuses?","Burnaby campus: 778.782.4615  
Vancouver campus: 778.782.5200  
Surrey campus: 778.782.5200",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
Which Indigenous peoples' territories do SFU campuses reside on?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen.",1_1_12,https://www.sfu.ca/students/health/unregistered-students/
